"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","10uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C2,C3,C4,C5,C12,C14","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","6",""
"C6","10nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C7,C8,C17","1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3",""
"C9,C10","10µF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C11,C13","330nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C15,C16,C18,C19","20p","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4",""
"D1","3V3","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"D2","6V","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"D3","5V","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"D4","BUILTIN","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"D5","USB","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"D6","SP0503BAHT","http://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/sp05xxba.pdf","Package_TO_SOT_SMD:SOT-143","1",""
"FB1","120R","~","Inductor_SMD:L_0805_2012Metric","1",""
"J1,J2,J5","TOF1","~","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","3",""
"J3","Conn_02x02_Counter_Clockwise","~","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","1",""
"J4","BATT","~","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J6","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J7","Motor 1","~","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","1",""
"J8","Motor 2","~","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","1",""
"J9","USB-C","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","1",""
"R1","330R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R2","68R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R3,R5","47R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R4","10K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R6","220R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R7","110R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R8","1M","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"SW1","BOOT0","~","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q","1",""
"SW2","BOOT1","~","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q","1",""
"SW3","A","~","Button_Switch_THT:SW_PUSH_6mm_H13mm","1",""
"SW4","B","~","Button_Switch_THT:SW_PUSH_6mm_H13mm","1",""
"SW5","C","~","Button_Switch_THT:SW_PUSH_6mm_H13mm","1",""
"SW6","RESET","~","Button_Switch_THT:SW_PUSH_6mm_H13mm","1",""
"SW7","POWER","~","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q","1",""
"U1","L7806","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U2","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U3","L7805","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U4","STM32F103C8Tx","https://www.st.com/resource/en/datasheet/stm32f103c8.pdf","Package_QFP:LQFP-48_7x7mm_P0.5mm","1",""
"U5","SSD1306","","Custom:128x64OLED","1",""
"U6","TB6612FNG","https://toshiba.semicon-storage.com/us/product/linear/motordriver/detail.TB6612FNG.html","Package_SO:SSOP-24_5.3x8.2mm_P0.65mm","1",""
"X1","SG-3030CM","https://support.epson.biz/td/api/doc_check.php?mode=dl&lang=en&Parts=SG-3030CM","Oscillator:Oscillator_SMD_SeikoEpson_SG3030CM","1",""
"Y1","8MHz","~","Crystal:Crystal_HC49-4H_Vertical","1",""
"Y2","32.768K","~","Crystal:Crystal_HC49-4H_Vertical","1",""
