Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.462500,-77.930000,0.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.462500,-74.920000,0.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.462500,-71.910000,0.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.462500,-68.900000,0.000000,top
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.462500,-65.890000,0.000000,top
"C6","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.272500,-63.400000,0.000000,top
"C7","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.272500,-65.890000,0.000000,top
"C8","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.462500,-63.400000,180.000000,top
"C9","10µF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",102.700000,-153.500000,90.000000,top
"C10","10µF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",107.800000,-153.500000,90.000000,top
"C11","330nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",82.300000,-153.500000,90.000000,top
"C12","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",87.400000,-153.500000,90.000000,top
"C13","330nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",92.500000,-153.500000,90.000000,top
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",97.600000,-153.500000,90.000000,top
"C15","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",143.100000,-150.040000,180.000000,top
"C16","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",143.100000,-156.200000,180.000000,top
"C17","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",143.100000,-162.360000,180.000000,top
"C18","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",70.200000,-89.400000,0.000000,top
"C19","20p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.000000,-68.000000,0.000000,top
"C20","20p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.000000,-62.000000,0.000000,top
"C21","20p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",128.000000,-81.750000,0.000000,top
"C22","20p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",128.000000,-74.750000,0.000000,top
"C23","0.01uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",118.900000,-113.100000,0.000000,top
"C24","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",103.700000,-108.100000,0.000000,top
"C25","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",118.900000,-108.220000,180.000000,top
"C26","2200pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",118.900000,-105.750000,0.000000,top
"D1","3V3","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",105.200000,-143.200000,-90.000000,top
"D2","6V","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",100.300000,-143.200000,-90.000000,top
"D3","5V","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",110.100000,-143.200000,-90.000000,top
"D4","BUILTIN","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",119.477500,-81.000000,180.000000,top
"D5","USB","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",69.200000,-147.500000,180.000000,top
"D6","SP0503BAHT","SOT-143",75.300000,-159.000000,90.000000,top
"D7","GYRO","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.300000,-99.000000,-90.000000,top
"FB1","120R","L_0805_2012Metric",149.272500,-68.900000,180.000000,top
"J1","TOF1","PinSocket_1x06_P2.54mm_Vertical",64.483474,-73.920000,0.000000,top
"J2","TOF1","PinSocket_1x06_P2.54mm_Vertical",104.658474,-45.500000,90.000000,top
"J3","Conn_02x02_Counter_Clockwise","PinHeader_2x02_P2.54mm_Vertical",109.708474,-100.000000,0.000000,top
"J4","BATT","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",113.600000,-168.700000,90.000000,top
"J5","TOF1","PinSocket_1x06_P2.54mm_Vertical",157.483474,-73.920000,0.000000,top
"J6","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",157.842998,-95.950000,0.000000,top
"J7","Motor 1","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",81.233474,-96.500000,0.000000,top
"J8","Motor 2","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",128.233474,-96.500000,0.000000,top
"J9","USB-C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",65.133474,-156.011161,-90.000000,top
"R1","330R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",100.300000,-147.900000,90.000000,top
"R2","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",110.100000,-147.900000,90.000000,top
"R3","47R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",105.200000,-147.900000,90.000000,top
"R4","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",70.200000,-86.700000,0.000000,top
"R5","1M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.000000,-65.000000,180.000000,top
"R6","47R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",119.500000,-78.500000,0.000000,top
"R7","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.100000,-146.960000,180.000000,top
"R8","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.100000,-153.120000,180.000000,top
"R9","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.100000,-159.280000,180.000000,top
"R10","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",64.400000,-147.500000,0.000000,top
"R11","110R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",83.700000,-147.100000,180.000000,top
"R12","4.7K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",103.800000,-113.350000,180.000000,top
"R13","4.7K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",103.700000,-110.400000,180.000000,top
"R14","4.7K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",118.900000,-110.660000,180.000000,top
"R15","47R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",103.700000,-105.800000,0.000000,top
"SW1","BOOT0","SW_Slide_SPDT_Straight_CK_OS102011MS2Q",88.750000,-70.547498,0.000000,top
"SW2","BOOT1","SW_Slide_SPDT_Straight_CK_OS102011MS2Q",88.750000,-76.097500,0.000000,top
"SW3","POWER","SW_Slide_SPDT_Straight_CK_OS102011MS2Q",72.400000,-167.400000,180.000000,top
"SW4","A","SW_PUSH_6mm_H13mm",150.200000,-145.111161,0.000000,top
"SW5","B","SW_PUSH_6mm_H13mm",150.200000,-153.661161,0.000000,top
"SW6","C","SW_PUSH_6mm_H13mm",150.200000,-162.211161,0.000000,top
"SW7","RESET","SW_PUSH_6mm_H13mm",64.750000,-94.750000,0.000000,top
"U1","L7806","TO-220-3_Vertical",85.900000,-164.677500,90.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",102.300000,-162.100000,180.000000,top
"U3","L7805","TO-220-3_Vertical",93.600000,-164.677500,90.000000,top
"U4","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",110.983474,-74.000000,180.000000,top
"U5","SSD1306","128x64OLED",133.380000,-158.900000,180.000000,top
"U6","TB6612FNG","SSOP-24_5.3x8.2mm_P0.65mm",110.983474,-88.500000,0.000000,top
"U7","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",110.998457,-110.100000,0.000000,top
"Y1","8MHz","Crystal_ABLS2-8.000MHZ-D4Y-T",127.912500,-64.000000,90.000000,top
"Y2","32.768K","XTAL_ABS07-32.768KHZ-T",128.000000,-78.250000,90.000000,top
